variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,1.0,min,max,63037.9,102511.94,1.6,surface_pressure_t2_s2_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,0.5,max,mean,66463.75,106487.44,6.44,surface_pressure_t2_s1_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,0.5,max,min,66389.75,106454.19,5.51,surface_pressure_t2_s1_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,0.5,max,max,66536.75,106589.19,5.44,surface_pressure_t2_s1_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,1.0,max,mean,66497.22,106441.06,1.86,surface_pressure_t2_s2_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,1.0,max,min,66389.75,106312.19,1.55,surface_pressure_t2_s2_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1ME,1.0,max,max,66656.81,106589.19,1.5,surface_pressure_t2_s2_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,mean,mean,66539.42,101850.02,0.62,surface_pressure_t3_s1_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,mean,min,66487.84,101823.95,0.63,surface_pressure_t3_s1_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,mean,max,66587.41,102358.77,0.63,surface_pressure_t3_s1_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,mean,mean,66613.58,101821.52,0.18,surface_pressure_t3_s2_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,mean,min,66487.84,101814.93,0.18,surface_pressure_t3_s2_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,mean,max,66829.76,102358.77,0.18,surface_pressure_t3_s2_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,min,mean,62703.4,99380.53,0.61,surface_pressure_t3_s1_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,min,min,62654.9,99364.69,0.53,surface_pressure_t3_s1_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,min,max,62755.9,99503.69,0.53,surface_pressure_t3_s1_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,min,mean,62793.62,99302.81,0.19,surface_pressure_t3_s2_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,min,min,62654.9,99202.19,0.17,surface_pressure_t3_s2_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,min,max,63037.9,99503.69,0.17,surface_pressure_t3_s2_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,max,mean,69381.0,106487.44,0.57,surface_pressure_t3_s1_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,max,min,69331.5,106454.19,0.49,surface_pressure_t3_s1_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,0.5,max,max,69437.5,106589.19,0.49,surface_pressure_t3_s1_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,max,mean,69462.62,106441.06,0.18,surface_pressure_t3_s2_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,max,min,69331.5,106312.19,0.16,surface_pressure_t3_s2_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1.0,max,max,69676.56,106589.19,0.15,surface_pressure_t3_s2_A_1736944178774_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,1D,0.5,mean,mean,62648.79,106318.41,63.86,surface_pressure_t1_s1_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,1D,0.5,mean,min,62592.63,106312.66,61.75,surface_pressure_t1_s1_A_1736958866739_mean_min.nc
