variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,min,mean,62793.62,102402.09,1.92,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,min,min,62654.9,102372.69,1.63,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,min,max,63037.9,102511.94,1.6,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,max,mean,66463.75,106487.44,6.44,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,max,min,66389.75,106454.19,5.51,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,max,max,66536.75,106589.19,5.44,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,max,mean,66497.22,106441.06,1.86,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,max,min,66389.75,106312.19,1.55,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,max,max,66656.81,106589.19,1.5,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,mean,mean,66539.42,101850.02,0.62,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,mean,min,66487.84,101823.95,0.63,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,mean,max,66587.41,102358.77,0.63,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,mean,mean,66613.58,101821.52,0.18,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,mean,min,66487.84,101814.93,0.18,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,mean,max,66829.76,102358.77,0.18,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,min,mean,62703.4,99380.53,0.61,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,min,min,62654.9,99364.69,0.53,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,min,max,62755.9,99503.69,0.53,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,min,mean,62793.62,99302.81,0.19,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,min,min,62654.9,99202.19,0.17,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,min,max,63037.9,99503.69,0.17,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,max,mean,69381.0,106487.44,0.57,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,max,min,69331.5,106454.19,0.49,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,0.5,max,max,69437.5,106589.19,0.49,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,max,mean,69462.62,106441.06,0.18,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,max,min,69331.5,106312.19,0.16,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,year,1.0,max,max,69676.56,106589.19,0.15,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736944178774_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,mean,mean,62648.79,106318.41,63.86,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,mean,min,62592.63,106312.66,61.75,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,mean,max,62705.21,106464.04,61.4,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_mean_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,mean,mean,62722.0,106312.02,13.95,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,mean,min,62592.63,106305.41,13.66,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,mean,max,62943.59,106464.04,13.48,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_mean_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,min,mean,62528.66,106148.12,57.14,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,min,min,62457.32,106145.38,47.13,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_min_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,min,max,62589.71,106193.38,46.86,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,min,mean,62572.39,106145.62,13.35,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,min,min,62457.32,106140.38,10.8,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_min_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,min,max,62757.32,106193.38,10.66,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,max,mean,62879.54,106466.06,55.69,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_max_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,max,min,62809.79,106449.06,45.84,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,0.5,max,max,62968.79,106640.06,42.02,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736958866739_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,max,mean,62947.61,106448.31,13.09,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_max_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,max,min,62809.79,106443.06,10.49,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,day,1.0,max,max,63160.79,106640.06,10.33,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736958866739_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,mean,65021.16,103744.72,1.64,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,min,64968.89,103716.62,1.64,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,mean,max,65068.12,103984.02,1.63,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_mean_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,mean,65101.89,103718.2,0.44,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,min,64968.89,103709.61,0.44,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,mean,max,65334.91,103984.02,0.44,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_mean_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,min,mean,62528.66,101739.61,1.56,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,min,min,62457.32,101729.86,1.33,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_min_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,min,max,62589.71,101823.12,1.33,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,min,mean,62572.39,101731.42,0.45,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,min,min,62457.32,101718.31,0.39,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_min_min.nc
