variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,mean,mean,271.42,283.64,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,1.0,none,max,269.94,302.59,15.68,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s2_Y_1736975614487_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,max,mean,269.51,302.59,10.83,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_max_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,mean,mean,271.42,283.79,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,min,max,269.5,282.24,0.05,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,min,min,269.5,298.7,8.18,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_min_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.25,mean,none,270.48,296.41,1.18,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736975614487_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,min,min,269.5,281.73,0.03,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_min_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,mean,min,271.42,283.73,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,min,mean,269.94,281.83,0.03,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,1.0,none,min,269.5,302.59,16.11,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s2_Y_1736975614487_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.25,min,none,269.5,292.49,0.92,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736975614487_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,max,mean,269.94,302.59,2.83,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_max_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,max,max,271.46,302.59,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_max_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,min,min,269.5,292.11,0.11,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_min_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.25,max,none,271.46,302.59,0.17,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s0_Y_1736975614487_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,mean,mean,269.94,300.19,2.94,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,mean,min,271.42,283.41,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,max,min,271.0,302.59,0.35,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,max,min,271.46,302.59,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.25,min,none,269.5,282.24,0.1,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s0_Y_1736975614487_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,mean,mean,270.48,296.38,0.37,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,mean,mean,270.8,296.33,0.13,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,mean,min,270.48,296.38,0.37,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.25,min,none,269.5,299.17,27.38,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736975614487_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,min,mean,269.5,292.11,0.32,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,0.25,none,none,269.5,302.59,248.69,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s0_Y_1736975614487.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,max,min,269.51,302.59,8.31,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,min,max,269.94,282.24,0.03,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_min_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,1.0,none,mean,269.94,302.59,16.16,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s2_Y_1736975614487_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,mean,max,270.87,296.38,0.13,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,max,min,271.46,302.59,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_max_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,0.5,max,max,269.51,302.59,9.6,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736975614487_max_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,max,max,269.94,302.59,2.45,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_max_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,max,max,271.46,302.59,0.12,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_max_max.nc
