variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,file_name
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,1H,0.25,sea_surface_temperature_t0_s0_Y_1736975614487.nc
sea_surface_temperature,90,50,-70,-180,2020-01-01T00:00,2023-12-31T23:00,1D,0.5,sea_surface_temperature_t0_s0_Y_1736976561839.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,1D,0.25,sea_surface_temperature_t0_s0_Y_1736979894617.nc
sea_surface_temperature,90,50,180,10,2020-01-01T00:00,2023-12-31T23:00,1D,0.5,sea_surface_temperature_t0_s0_Y_1736983441536.nc
sea_surface_temperature,90,60,180,-180,2015-01-01T00:00,2019-12-31T23:00,1YE,1,sea_surface_temperature_t0_s0_Y_1736987215787.nc
sea_surface_temperature,80,70,-50,-80,2010-01-01T00:00,2014-12-31T23:00,1H,0.25,sea_surface_temperature_t0_s0_Y_1736993303695.nc
sea_surface_temperature,90,60,180,-180,2010-01-01T00:00,2014-12-31T23:00,1D,1,sea_surface_temperature_t0_s0_Y_1736996221069.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,1ME,1,sea_surface_temperature_t0_s0_Y_1737002368423.nc
sea_surface_temperature,90,60,180,-180,2001-01-01T00:00,2005-12-31T23:00,1Y,1,sea_surface_temperature_t0_s0_Y_1737007070528.nc
