variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
total_precipitation,-70,-90,0,-90,2019,2020,D,0.5
total_precipitation,-70,-90,180,0,2019,2020,D,0.5
total_precipitation,90,70,180,0,2021,2023,H,0.25
total_precipitation,90,70,0,-70,2021,2023,H,0.25
total_precipitation,90,70,-70,-180,2021,2023,H,0.25
total_precipitation,70,50,180,0,2021,2023,H,0.5
total_precipitation,70,50,0,-70,2021,2023,H,0.5
total_precipitation,70,50,-70,-180,2021,2023,H,0.5
total_precipitation,-60,-90,-90,-180,2021,2023,D,0.5
total_precipitation,-60,-90,0,-90,2021,2023,D,0.25
