variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,mean,mean,240.91,275.64,0.03,2m_temperature_t1_s2_1733808198155_mean_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,mean,min,238.6,274.42,0.03,2m_temperature_t1_s2_1733808198155_mean_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,mean,max,241.87,277.61,0.03,2m_temperature_t1_s2_1733808198155_mean_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,min,mean,225.61,272.95,0.04,2m_temperature_t1_s1_1733808198155_min_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,min,min,225.03,272.94,0.04,2m_temperature_t1_s1_1733808198155_min_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,min,max,226.27,273.52,0.04,2m_temperature_t1_s1_1733808198155_min_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,min,mean,227.7,272.89,0.03,2m_temperature_t1_s2_1733808198155_min_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,min,min,225.03,272.84,0.03,2m_temperature_t1_s2_1733808198155_min_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,min,max,230.03,273.52,0.03,2m_temperature_t1_s2_1733808198155_min_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,max,mean,250.48,281.91,0.04,2m_temperature_t1_s1_1733808198155_max_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,max,min,249.8,280.51,0.04,2m_temperature_t1_s1_1733808198155_max_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,max,max,250.63,283.46,0.04,2m_temperature_t1_s1_1733808198155_max_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,max,mean,251.05,280.76,0.03,2m_temperature_t1_s2_1733808198155_max_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,max,min,249.8,279.29,0.03,2m_temperature_t1_s2_1733808198155_max_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,1.0,max,max,252.25,283.46,0.03,2m_temperature_t1_s2_1733808198155_max_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,0.5,mean,mean,254.25,264.63,0.03,2m_temperature_t2_s1_1733808198155_mean_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,0.5,mean,min,253.6,264.4,0.03,2m_temperature_t2_s1_1733808198155_mean_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,0.5,mean,max,254.35,264.88,0.03,2m_temperature_t2_s1_1733808198155_mean_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,1.0,mean,mean,254.41,264.23,0.02,2m_temperature_t2_s2_1733808198155_mean_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,1.0,mean,min,253.6,263.69,0.02,2m_temperature_t2_s2_1733808198155_mean_min.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,1.0,mean,max,255.01,264.88,0.02,2m_temperature_t2_s2_1733808198155_mean_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,Y,0.5,min,mean,225.61,246.1,0.03,2m_temperature_t2_s1_1733808198155_min_mean.nc
