variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
10m_u_component_of_wind,90,40,180,-180,1990,1994,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1990,1994,1YE,1
10m_u_component_of_wind,90,40,180,-180,1995,1999,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1995,1999,1YE,1
10m_u_component_of_wind,90,40,180,-180,2000,2004,1YE,0.25
10m_u_component_of_wind,-70,-90,180,-180,2000,2004,1YE,0.25
10m_u_component_of_wind,90,40,180,-180,2005,2009,1ME,1
10m_u_component_of_wind,-70,-90,180,-180,2005,2009,1ME,1
10m_u_component_of_wind,90,40,180,0,2010,2012,1D,0.5
10m_u_component_of_wind,90,40,0,-70,2010,2012,1D,0.25
