variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
10m_u_component_of_wind,90,40,180,-180,1940,1944,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1940,1944,1YE,1
10m_u_component_of_wind,90,40,180,-180,1945,1949,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1945,1949,1YE,1
10m_u_component_of_wind,90,40,180,-180,1950,1954,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1950,1954,1YE,1
10m_u_component_of_wind,90,40,180,-180,1955,1959,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1955,1959,1YE,1
10m_u_component_of_wind,90,40,180,-180,1960,1964,1YE,1
10m_u_component_of_wind,-70,-90,180,-180,1960,1964,1YE,1
