variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
10m_u_component_of_wind,-60,-90,180,0,2021,2023,D,0.5
10m_u_component_of_wind,90,70,180,0,2024,2024,H,0.25
10m_u_component_of_wind,90,70,0,-70,2024,2024,H,0.25
10m_u_component_of_wind,90,70,-70,-180,2024,2024,H,0.25
10m_u_component_of_wind,70,50,180,0,2024,2024,H,0.25
10m_u_component_of_wind,70,50,0,-70,2024,2024,H,0.25
10m_u_component_of_wind,70,50,-70,-180,2024,2024,H,0.25
10m_u_component_of_wind,-60,-90,-90,-180,2024,2024,D,0.5
10m_u_component_of_wind,-60,-90,0,-90,2024,2024,D,0.5
10m_u_component_of_wind,-60,-90,180,0,2024,2024,D,0.5
