variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
2m_temperature,90,40,180,-180,1990,1994,Y,1
2m_temperature,-70,-90,180,-180,1990,1994,Y,1
2m_temperature,90,40,180,-180,1995,1999,Y,1
2m_temperature,-70,-90,180,-180,1995,1999,Y,1
2m_temperature,90,40,180,-180,2000,2004,Y,0.25
2m_temperature,-70,-90,180,-180,2000,2004,Y,0.25
2m_temperature,90,40,180,-180,2005,2009,M,1
2m_temperature,-70,-90,180,-180,2005,2009,M,1
2m_temperature,90,40,180,0,2010,2012,D,0.5
2m_temperature,90,40,0,-70,2010,2012,D,0.25
