variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,file_name
2m_temperature,90,40,180,-180,1990-01-01T00:00,1994-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736740294261.nc
2m_temperature,-70,-90,180,-180,1990-01-01T00:00,1994-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736778960054.nc
